filename,relfreq_NOUN,relfreq_VERB,relfreq_ADJ,relfreq_ADV,unique_PERSON,unique_LOC,unique_ORG
2074.a3.txt,1964.2857142857142,1096.938775510204,752.5510204081633,522.9591836734694,4,1,4
5013.a3.txt,1702.4128686327078,1340.4825737265417,616.6219839142091,670.2412868632708,0,0,0
0223.a3.txt,1847.0588235294117,1129.4117647058824,611.7647058823529,647.0588235294118,0,0,1
2017.a3.txt,1885.4415274463008,1085.9188544152746,668.2577565632458,429.5942720763723,1,0,0
2066.a3.txt,2315.4362416107383,1308.7248322147652,620.8053691275168,436.241610738255,0,0,0
5001.a3.txt,1896.3616317530318,970.231532524807,727.6736493936054,595.3693495038589,2,0,1
0231.a3.txt,2317.541613316261,1075.5441741357233,691.4212548015365,473.7516005121639,1,0,0
1057.a3.txt,1741.5730337078653,1168.5393258426966,685.3932584269663,516.8539325842696,1,0,1
0186.a3.txt,1901.1406844106464,1026.6159695817491,798.4790874524715,735.1077313054499,2,0,0
1034.a3.txt,2063.711911357341,1094.1828254847644,637.1191135734073,318.55955678670364,1,0,1
1049.a3.txt,1782.0512820512822,1307.6923076923078,679.4871794871794,576.9230769230769,0,0,0
0198.a3.txt,1843.0439952437575,1034.4827586206895,475.6242568370987,487.5148632580262,2,1,0
2005.a3.txt,1521.0843373493976,1159.6385542168675,737.9518072289156,692.7710843373494,0,1,2
2050.a3.txt,2260.0243013365734,1032.8068043742405,777.6427703523693,364.5200486026731,2,0,1
1061.a3.txt,1865.1362984218079,1119.0817790530846,573.8880918220947,459.11047345767577,0,0,0
0207.a3.txt,1666.6666666666665,1263.0208333333335,625.0,312.5,0,1,0
5029.a3.txt,1891.5510718789408,1286.2547288776796,630.517023959647,479.19293820933166,6,0,0
1102.a3.txt,2072.4094881398255,1098.6267166042448,536.828963795256,574.2821473158552,2,0,0
0219.a3.txt,2147.562582345191,1238.471673254282,566.5349143610013,606.0606060606061,1,0,1
2042.a3.txt,1760.1043024771839,1225.554106910039,638.8526727509778,612.7770534550195,2,0,0
0215.a3.txt,1734.6938775510205,1267.0068027210884,459.18367346938777,425.17006802721085,2,0,4
